Common name English;Common name portuguese;Taxon
Shortfin mako;Cação-anequim;Isurus oxyrinchus
Atlantic white marlin;Agulhão-branco;Kajikia albida
Skipjack tuna;Bonito-listrado;Katsuwonus pelamis
Blue marlin;Agulhão-azul, Agulhão-negro;Makaira nigricans
Bluefish;Anchova, Enchova;Pomatomus saltatrix
Blue shark;Cação-azul;Prionace glauca
Atlantic sharpnose sharks;Cação rola-rola, Cação frango;Rhizoprionodon spp.
Serra Spanish mackerel;Sororoca;Scomberomorus brasiliensis
King mackerel;Cavala;Scomberomorus cavalla
Grouped bonitos;Bonitos agrupados;Scombridae
Sharks;Cação, Caçonete;Selachii
Amberjacks;Olhete, Olho-de-boi, Pitangola;Seriola spp. (S. lalandi, S. dumerili, S. fasciata)
Barracuda;Bicuda;Sphyraena spp.
Hammerhead shark;Cação-martelo;Sphyrna spp.
Dogfishes;Cação-bagre;Squalus spp.
Albacore;Albacora-branca;Thunnus alalunga
Yellowfin tuna;Albacora-laje;Thunnus albacares
Blackfin tuna;Albacorinha;Thunnus atlanticus
Bigeye tuna;Albacora-bandolim;Thunnus obesus
Tuna;Atum;Thunnus spp.
Swordfish;Espadarte, Meca;Xiphias gladius
Anchovy;Manjuba;Anchoa spp.
Broadband anchovy;Manjuba-de-iguape;Anchoviella lepidentostole
Argentine menhaden;Savelha;Brevoortia spp., Brevoortia pectinata
Jack, pompanos;Xáreu, Carapau;Caranx spp. (C. crysos, C. hippos, C. latus)
Atlantic anchoveta;Sardinha boca-torta;Cetengraulis edentulus
Atlantic bumper;Palombeta;Chloroscombrus chrysurus
Sardines;Sardinhas;Clupeidae
Anchovies;Anchoita, Anchoveta;Engraulis spp.
False herring;Sardinha-cascuda;Harengula clupeola
Leatherjacket fish;Guaivira;Oligoplites spp.
Atlantic thread herring;Sardinha-lage;Opisthonema oglinum
Brazilian sardinella;Sardinha-verdadeira;Sardinella brasiliensis
Atlantic chub mackerel;Cavalinha;Scomber colias
Bigeye scad;Olhudo;Selar crumenophthalmus
Atlantic moonfish;Galo;Selene spp.
Plata pompano;Pampo;Trachinotus spp., Trachinotus marginatus
Rough scad;Xixarro;Trachurus lathami
Brown booby ;Atobá-pardo;Sula leucogaster
Cabot's tern;Trinta-réis-de-bando;Sterna eurygnatha
Kelp gull;Gaivotão;Larus dominicanus
South American tern;Trinta-réis-de-bico-vermelho;Sterna hirundinacea
Magnificent frigatebird;Tesourão;Fregata magnificens
Humpback whale;Baleia-jubarte;Megaptera novaeangliae
Other Delphinidae;Outros Delphinidae;Delphinus delphis, Feresa attenuata, Globicephala macrorhynchus, Grampus griseus, Sotalia guianensis, Stenella attenuata, S. clymene, S. longirostris, Steno bredanensis
Atlantic spotted dolphin;Golfinho-pintado-do-Atlântico;Stenella frontalis
Bottlenose dolphin;Golfinho-nariz-de-garrafa;Tursiops truncatus
Other Mysticeti;Outros Mysticeti;"Balaenoptera brydei, Eubalaena australis, B. acutorostrata, B.
bonaerensis, B. borealis, B. physalus"
South American sea lion;Leão-marinho-da-patagônia;Otaria flavescens
South American fur seal;Lobo-marinho-do-sul;Arctocephalus australis
Subantarctic fur seal;Lobo-marinho-subantártico;Arctocephalus tropicalis
